song_id,dist,artists,track_name,duration_ms,danceability,genre,energy,loudness,key_signature,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,dwh_inserted_timestamp
10018510778896022773,0,Bee Gees,How Can You Mend A Broken Heart,237826,0.335,disco,0.262,-13.832,E,major,0.0393,0.548,0.0,0.0971,0.203,68.82,4,"I can think of younger days when living for my life  
Was everything a man could want to do  
I could never see tomorrow,  
But I was never told about the sorrow  
  
And how can you mend a broken heart?  
How can you stop the rain from falling down?  
How can you stop the sun from shining?  
What makes the world go round?  
How can you mend this broken man?  
How can a loser ever win?  
Please help me mend my broken heart and let me live again  
  
I can still feel the breeze that rustles through the trees  
And misty memories of days gone by  
We could never see tomorrow,  
No one said a word about the sorrow  
  
And how can you mend a broken heart?  
How can you stop the rain from falling down?  
How can you stop the sun from shining?  
What makes the world go round?  
And how can you mend this broken man?  
How can a loser ever win?  
Please help me mend my broken heart and let me live again  
  
La la la la la la, la la la la  
La la la la la la, la la la la  
  
Please help me mend my broken heart and let me live again  
  
Da da da da  
Da da da da, da da da da da, da

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10062984395933961247,0,Foo Fighters,The Pretender,269373,0.433,"alt-rock, alternative, grunge, metal",0.9590000000000001,-4.04,A,major,0.0431,0.000917,0.0,0.028,0.365,172.984,4,"Keep you in the dark  
You know they all pretend  
Keep you in the dark  
And so it all began  
  
Send in your skeletons  
Sing as their bones go marching in, again  
The need you buried deep  
The secrets that you keep are ever ready  
Are you ready?  
I'm finished making sense  
Done pleading ignorance  
That whole defense  
  
Spinning infinity, boy  
The wheel is spinning me  
It's never-ending, never-ending  
Same old story  
  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say I will never surrender?  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say that I'll never surrender?  
  
In time our soul untold  
I'm just another soul for sale, oh well  
The page is out of print  
We are not permanent  
We're temporary, temporary  
Same old story  
  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say that I'll never surrender?  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say that I'll never surrender?  
  
I'm the voice inside your head  
You refuse to hear  
I'm the face that you have to face  
Mirrored in your stare  
I'm what's left, I'm what's right  
I'm the enemy  
I'm the hand that will take you down  
Bring you to your knees  
  
So who are you?  
Yeah, who are you?  
Yeah, who are you?  
Yeah, who are you?  
  
Keep you in the dark  
You know they all pretend  
  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say I will never surrender?  
What if I say I'm not like the others?  
What if I say I'm not just another one of your plays?  
You're the pretender  
What if I say that I'll never surrender?  
  
What if I say I'm not like the others?  
(Keep you in the dark)  
What if I say I'm not just another one of your plays?  
(You know they all pretend)  
You're the pretender  
(Who dares)  
What if I say I will never surrender?  
  
What if I say I'm not like the others?  
(Keep you in the dark)  
What if I say I'm not just another one of your plays?  
(You know they all pretend)  
You're the pretender  
(Who dares)  
What if I say I will never surrender?  
  
So who are you?  
Yeah, who are you?  
Yeah, who are you?

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10070033369023809680,0,Status Quo,In The Army Now,281746,0.686,"blues, british, hard-rock",0.722,-7.094,A,minor,0.0233,0.101,3.37e-06,0.11,0.904,104.665,4,"A vacation in the foreign land  
Uncle Sam does the best he can  
You're in the army now  
Oh, oh, you're in the army, now  
  
Now you remember what the draft man said  
Nothing to do all day but stay in bed  
You're in the army now  
Oh, oh you're in the army, now  
  
You'll be a hero of the neighborhood  
Nobody knows that you left for good  
You're in the army now  
Oh, oh, you're in the army, now  
  
Smiling faces on the way to 'Nam  
But once you get there no one gives a damn  
You're in the army now  
Oh, oh, you're in the army, now  
  
Hand grenades flying over your head  
  
Missiles flying over your head  
If you want to survive, get out of bed  
You're in the army now  
Oh, oh, you're in the army, now  
  
Shots ring out in the dead of night  
The sergeant calls: ""Stand up and fight!""  
You're in the army now  
Oh, oh you're in the army, now  
  
You've got your orders to shoot on sight  
Your finger's on the trigger but it don't seem right  
You're in the army now  
Oh, oh you're in the army, now  
  
Night is falling and you just can't see  
Is this illusion or reality  
You're in the army now  
Oh, oh you

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
1007611027555825226,0,Alice In Chains,Bleed The Freak,242600,0.245,grunge,0.749,-9.352,G♯/A♭,minor,0.0599,0.00252,7.87e-06,0.185,0.221,118.363,4,"My cup runneth over  
Like blood from a stone  
These stand for me  
Name your god and bleed the freak  
I like to see  
How you all would bleed for me  
  
When the pig runs slower  
Let the arrow fly  
When the sin lies bolder  
I'll pluck out thine eye  
These stand for me  
Name your god and bleed the freak  
I like to see  
How you all would bleed for me  
  
If you scorn my lover  
Satan got your thigh  
If you steal in hunger  
I will kick you when you try  
These stand for me  
Name your god and bleed the freak  
I like to see  
How you all would bleed for me  
""all these things that you've done for me,  
Have left me so  
Fucking tired  
  
I'm not saying that you haven't done a lot of good,  
But if there's one thing you can do,  
You can bleed for me, bleed for me""  
  
These stand for me  
Name your god and bleed the freak  
I like to see  
How you all would bleed for me  
These stand for me  
Name your god and bleed the freak  
I like to see  
How you all would bleed for me

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10081762227510093749,0,Billy Joel,Piano Man,339000,0.331,"folk, piano, singer-songwriter, songwriter",0.55,-6.483,C,major,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3,"It's nine o'clock on a Saturday  
The regular crowd shuffles in  
There's an old man sitting next to me  
Makin' love to his tonic and gin  
  
He says, ""Son, can you play me a memory  
I'm not really sure how it goes  
But it's sad and it's sweet and I knew it complete  
When I wore a younger man's clothes.""  
  
La la la, di da da  
La la, di da da da dum  
  
Sing us a song, you're the piano man  
Sing us a song tonight  
Well, we're all in the mood for a melody  
And you've got us feelin' alright  
  
Now John at the bar is a friend of mine  
He gets me my drinks for free  
And he's quick with a joke or to light up your smoke  
But there's someplace that he'd rather be  
He says, ""Bill, I believe this is killing me.""  
As the smile ran away from his face  
""Well I'm sure that I could be a movie star  
If I could get out of this place""  
  
Oh, la la la, di da da  
La la, di da da da dum  
  
Now Paul is a real estate novelist  
Who never had time for a wife  
And he's talkin' with Davy, who's still in the Navy  
And probably will be for life  
  
And the waitress is practicing politics  
As the businessmen slowly get stoned  
Yes, they're sharing a drink they call loneliness  
But it's better than drinkin' alone  
  
Sing us a song you're the piano man  
Sing us a song tonight  
Well we're all in the mood for a melody  
And you got us feeling alright  
  
It's a pretty good crowd for a Saturday  
And the manager gives me a smile  
'Cause he knows that it's me they've been comin' to see  
To forget about life for a while  
And the piano, it sounds like a carnival  
And the microphone smells like a beer  
And they sit at the bar and put bread in my jar  
And say, ""Man, what are you doin' here?""  
  
Oh, la la la, di da da  
La la, di da da da dum  
  
Sing us a song you're the piano man  
Sing us a song tonight  
Well we're all in the mood for a melody  
And you got us feeling alright

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10081827871701357287,0,Steely Dan,Deacon Blues,454560,0.751,psych-rock,0.545,-13.429,C,major,0.0394,0.49,0.000342,0.131,0.599,115.848,4,"This is the day of the expanding man  
That shape is my shade  
There where I used to stand  
It seems like only yesterday  
I gazed through the glass  
At ramblers, wild gamblers  
That's all in the past  
  
You call me a fool  
You say it's a crazy scheme  
This one's for real  
I already bought the dream  
So useless to ask me why  
Throw a kiss and say goodbye  
I'll make it this time  
I'm ready to cross that fine line  
  
[Chorus]  
I'll learn to work the saxophone  
I play just what I feel  
Drink Scotch whiskey all night long  
And die behind the wheel  
They got a name for the winners in the world  
And I want a name when I lose  
They call Alabama the Crimson Tide  
Call me Deacon Blues  
  
My back to the wall  
A victim of laughing chance  
This is for me  
The essence of true romance  
Sharing the things we know and love  
With those of my kind  
Libations  
Sensations  
That stagger the mind  
  
I crawl like a viper  
Through these suburban streets  
Make love to these women  
Languid and bittersweet  
I'll rise when the sun goes down  
Cover every game in town  
A world of my own  
I'll make it my home sweet home  
  
[Chorus]  
  
This is the night of the expanding man  
I take one last drag  
As I approach the stand  
I cried when I wrote this song  
Sue me if I play too long  
This brother is free  
I'll be what I want to be

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10085378244052961164,0,Opeth,Hope Leaves,267146,0.501,death-metal,0.48,-9.021,D,major,0.0249,0.58,0.079,0.133,0.122,139.17,4,"In the corner beside my window  
Hangs a lonely photograph  
There is a reason I never notice it  
Memory that could hold me back  
  
There is a wound that's always bleeding  
There is a road I'm always walking  
And I know you'll never return to this place  
  
Gone through days without talking  
There is a comfort in silence  
So used to losing all ambition  
And struggling to maintain what's left  
  
There is a wound that's always bleeding  
There is a road I'm always walking  
And I know you'll never return to this place  
  
Once undone, there's only smoke  
Burning in my eyes to blind  
To cover up what really happened  
And force the darkness unto me  
  
There is a wound that's always bleeding  
There is a road I'm always walking  
And I know you'll never return to this place

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10094682406723622078,0,Marilyn Manson,mOBSCENE,205720,0.548,industrial,0.9540000000000001,-4.008,A,major,0.0806,5.49e-05,0.000137,0.245,0.488,130.086,4,"""Ladies and Gentlemen""  
We are the thing of shapes to come  
Your freedom's not free and dumb  
This Depression is Great  
The Deformation Age, they know my name  
Waltzing to scum and base and  
Married to the pain  
  
Bang we want it  
Bang we want it  
Bang bang bang bang bang  
You came to see the mobscene  
I know it isn't your scene  
It's better than a sex scene and it's  
So fucking obscene, obscene yeah.  
  
Girls (in the spirit of Oscar Wilde)  
Be obscene, be be obscene  
Be obscene, baby, and not heard.  
The day that love opened our eyes  
We watched the world end  
  
We have ""high"" places but we have no friends  
They told us sin's not good but we know it's great  
War-time full-frontal drugs, sex-tank armor plate  
  
Bang we want it  
Bang we want it  
Bang bang bang bang bang  
You came to see the mobscene  
I know it isn't your scene  
It's better than a sex scene and it's  
So fucking obscene, obscene yeah.  
  
You want commitment?  
Put on your best suit, get your arms around me  
Now we're going down down down  
You want commitment?  
Put on your best suit, get your arms around me  
Now we're going down down down  
  
Girls(in the spirit of Oscar Wilde):  
Be obscene, be be obscene  
Be obscene, baby, and not heard.  
You came to see the mobscene  
I know it isn't your scene  
It's better than a sex scene and it's  
So fucking obscene, obscene yeah.  
  
You want commitment?  
Put on your best suit, get your arms around me  
Now we're going down down down  
You want commitment?  
Put on your best suit, get your arms around me  
Now we're going down down down  
""Ladies and gentlemen, be obscene! Be be obscene!""  
Girls(in the spirit of Oscar Wilde)  
Be obscene, be be obscene  
Be obscene, baby, and not heard.  
Bang bang bang bang bang.

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
10133778154258328315,0,Nirvana,You Know You're Right,217000,0.289,grunge,0.716,-6.53,F,minor,0.106,0.0407,0.00123,0.135,0.344,168.049,4,"I would never bother you  
I would never promise to  
I will never follow you  
I will never bother you  
Never say a word again  
I will crawl away for good  
  
I will move away from here  
You won't be afraid of fear  
No thought was put into this  
I always knew it would come to this  
Things have never been so swell  
And I have never failed to fail  
  
Pain  
Pain  
Pain  
You know you're right  
You know you're right  
You know you're right  
  
It's so warm and calm inside  
I no longer have to hide  
There's talk about someone else  
Steaming, soon begins to melt  
Nothin' really bothers her  
She just wants to love herself  
  
I will move away from here  
You won't be afraid of fear  
No thought was put into this  
I always knew it'd come to this  
Things have never been so swell  
And I have never failed to fail  
  
Pain  
Pain  
Pain  
Pain  
Pain  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know you're right  
You know your rights  
You know your rights  
You know your rights  
Pain

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
1014387586379463564,0,Nat King Cole,Nature Boy,174800,0.266,jazz,0.181,-15.143,G,minor,0.0375,0.888,0.000499,0.124,0.106,138.908,3,"There was a boy  
A very strange enchanted boy  
They say he wandered very far, very far  
Over land and sea  
A little shy and sad of eye  
But very wise was he  
  
And then one day  
A magic day he passed my way  
And while we spoke of many things  
Fools and kings  
This he said to me  
""The greatest thing you'll ever learn  
Is just to love and be loved in return""  
  
""The greatest thing you'll ever learn  
Is just to love and be loved in return""

",2025-07-20T12:33:22.929+02:00[Europe/Malta]
